"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Track",,,"Worksheet",""
"Vehicle","Vehicle",,,"Vehicle Desc",""
"Driver","Driver",,,"Engine ID",""
"Device","ADL"
"Comment","Dynamic Channels from devices.py",,,"Session","All Channels from devices.py"
"Log Date","5/3/2026",,,"Origin Time","59.833","s"
"Log Time","3:41:48 PM",,,"Start Time","59.840","s"
"Sample Rate","1000.000","Hz",,"End Time","94.180","s"
"Duration","34.340","s",,"Start Distance","232","m"
"Range","No Lap (selection)",,,"End Distance","575","m"
"Beacon Markers",""


"Time","Distance","Time","Front Brake Pressure","Rear Brake Pressure","Steering","FL Shock","FR Shock","RR Shock","RL Shock","Supplied Current","Battery Voltage","Lat_Accel","IMU Y Accel","IMU Z Accel","IMU X Gyro","IMU Y Gyro","IMU Z Gyro","FR Strain Gauge","FL Strain Gauge","RL Strain Gauge","RR Strain Gauge","FL Wheel Ambient","FL Wheel Object","FL Wheel RPM","FR Wheel Ambient","FR Wheel Object","FR Wheel RPM","RR Wheel Ambient","RR Wheel Object","RR Wheel RPM","RL Wheel Ambient","RL Wheel Object","RL Wheel RPM","Brake Fluid","Throttle Load","Brake Load","DRS","GPS Longitude","GPS Latitude","GPS Speed","GPS Fix","Engine Speed","Engine Coolant Temp","Engine Oil Temp","Oil Pressure","Neutral Status","Lambda 1","Throttle Position","Gear Position","Vehicle Speed","APS Main","Fuel Pressure","Accel Fuel","Accumulated Distance","Manifold Pressure","AN Temp 3","ECU Lateral Accel","ECU Longitudinal Accel","ECU Vertical Accel","Test Number","DTC FL Wheel","DTC FR Wheel","DTC RL Wheel","DTC RR Wheel","DTC FL Strain","DTC FR Strain","DTC RL Strain","DTC RR Strain","DTC IMU","GPS 0","GPS 1","FLT_TTA","FLT_TTB","FRT_TTA","FRT_TTB","RLT_TTA","RLT_TTB","RRT_TTA","RRT_TTB","Channel Count"
"s","m","min","kPa","kPa","deg","mm","mm","mm","mm","A","V","G","g","g","deg/s","deg/s","deg/s","raw","","","","C","","rpm","C","","rpm","C","","rpm","C","","rpm","","%","%","","deg","deg","km/h","","rpm","C","C","kPa","","Lambda","%","","km/h","%","kPa","ms","km","kPa","C","g","g","g","","","","","","","","","","","","","","","","","","","","",""


"0.000","0","1","651","1640","-11","-5.3","-5.6","-3.0","-3.3","751","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.05","-0.01","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.001","0","1","650","1640","-11","-5.3","-5.6","-3.0","-3.3","750","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.04","-0.02","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.002","0","1","648","1640","-11","-5.3","-5.6","-3.0","-3.3","750","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.03","-0.03","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.003","0","1","647","1640","-11","-5.3","-5.6","-3.0","-3.3","749","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.03","-0.04","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.004","0","1","646","1640","-11","-5.3","-5.6","-3.0","-3.3","748","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.02","-0.05","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.005","0","1","644","1640","-11","-5.3","-5.6","-3.0","-3.3","747","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.01","-0.05","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.006","0","1","643","1640","-11","-5.3","-5.6","-3.0","-3.3","746","12","0.00","-0.13","0.99","945.00","87.50","-962.50","60474","-708423843840","92026","0","5117","6867","120","0","0","500","0","0","500","0","0","750","0","0","0","0","0","0","0","0","8385","32","24","365","0","1.06","14.0","1","0.00","0.000","6","0","0","28.00","-49","-0.00","-0.06","1.13","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
