"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Track",,,"Worksheet",""
"Vehicle","Vehicle",,,"Vehicle Desc",""
"Driver","Driver",,,"Engine ID",""
"Device","ADL"
"Comment","Dynamic Channels from devices.py",,,"Session","All Channels from devices.py"
"Log Date","4/17/2026",,,"Origin Time","488.003","s"
"Log Time","1:38:51 AM",,,"Start Time","488.010","s"
"Sample Rate","100.000","Hz",,"End Time","527.960","s"
"Duration","39.950","s",,"Start Distance","2743","m"
"Range","No Lap (selection)",,,"End Distance","3337","m"
"Beacon Markers",""


"Time","Distance","Time","Front Brake Pressure","Rear Brake Pressure","Steering","FR Shock","FL Shock","RR Shock","RL Shock","Supplied Current","Battery Voltage","Lat_Accel","IMU Y Accel","IMU Z Accel","IMU X Gyro","IMU Y Gyro","IMU Z Gyro","FR Strain Gauge","FL Strain Gauge","RL Strain Gauge","RR Strain Gauge","FL Wheel Ambient","FL Wheel Object","FL Wheel RPM","FR Wheel Ambient","FR Wheel Object","FR Wheel RPM","RR Wheel Ambient","RR Wheel Object","RR Wheel RPM","RL Wheel Ambient","RL Wheel Object","RL Wheel RPM","Brake Fluid","Throttle Load","Brake Load","DRS","GPS Longitude","GPS Latitude","GPS Speed","GPS Fix","Engine Speed","Engine Coolant Temp","Engine Oil Temp","Oil Pressure","Neutral Status","Lambda 1","Throttle Position","Gear Position","Vehicle Speed","APS Main","Fuel Pressure","Accel Fuel","Accumulated Distance","Manifold Pressure","AN Temp 3","ECU Lateral Accel","ECU Longitudinal Accel","ECU Vertical Accel","Test Number","DTC FL Wheel","DTC FR Wheel","DTC RL Wheel","DTC RR Wheel","DTC FL Strain","DTC FR Strain","DTC RL Strain","DTC RR Strain","DTC IMU","GPS 0","GPS 1","FLT_TTA","FLT_TTB","FRT_TTA","FRT_TTB","RLT_TTA","RLT_TTB","RRT_TTA","RRT_TTB","Channel Count"
"s","m","min","kPa","kPa","deg","mm","mm","mm","mm","A","V","G","g","g","deg/s","deg/s","deg/s","raw","","","","deg C","","rpm","deg C","","rpm","deg C","","rpm","deg C","","rpm","","%","%","","deg","deg","km/h","","rpm","deg C","deg C","kPa","","Lambda","%","","km/h","%","kPa","ms","km","kPa","deg C","g","g","g","","","","","","","","","","","","","","","","","","","","",""


"0.000","0","8","410","1584","-4","-7.3","-4.4","-2.8","-4.5","621","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","25","-0","-0","5","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11273","32","26","379","0","1.06","26","0","0.0","0.100","14086","0","0","42.00","-49","-0.05","-0.13","1.07","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.010","0","8","412","1584","-4","-7.3","-4.4","-2.8","-4.5","614","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","25","-0","-0","5","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11273","32","26","379","0","1.06","26","0","0.0","0.100","14086","0","0","42.00","-49","0.01","-0.12","0.96","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.020","0","8","409","1584","-4","-7.3","-4.5","-2.7","-4.5","618","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","25","-0","-0","5","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11273","32","26","379","0","1.06","26","0","0.0","0.100","14086","0","0","42.00","-49","-0.05","0.09","0.76","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.030","0","8","412","1584","-4","-7.3","-4.5","-2.8","-4.5","614","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","6","-0","-0","5","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11273","32","26","379","0","1.06","26","0","0.0","0.100","14086","0","0","42.00","-49","-0.05","0.20","0.57","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.040","0","8","408","1584","-5","-7.2","-4.4","-2.6","-4.3","722","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","6","-0","-0","5","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11273","32","26","379","0","1.06","26","0","0.0","0.100","14086","0","0","42.00","-49","-0.04","0.22","0.54","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.050","0","8","410","1584","-4","-7.3","-4.6","-2.8","-4.5","620","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","6","-0","-0","5","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11290","32","26","379","0","1.07","26","0","0.0","0.100","18182","0","0","42.00","-49","0.03","0.14","0.60","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0.060","0","8","411","1584","-4","-7.3","-4.5","-2.8","-4.5","605","12","0.00","0.01","1.02","35.00","-192.50","630.00","0","2606","92026","0","-0","-0","6","-0","-0","10","-0","-0","272","-0","-0","200","0","0","0","0","3175683584","334295616","7.00","2","11290","32","26","379","0","1.07","26","0","0.0","0.100","18182","0","0","42.00","-49","-0.03","0.28","0.59","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
