"Name","ECU Internal Datalog - 2026-05-03 13;33;03"
"File Time","Section Time","Engine Speed","TPS (Main)","ECT","Oil Temperature"
"s","s","RPM","%","°C","°C"

"0","0","1000","5","85.0","94.0"
"0.001","0.001","1010","5","85.0","94.0"
"0.002","0.002","1020","5","85.0","94.0"
"0.003","0.003","1030","6","85.0","94.0"
"0.004","0.004","1040","6","85.0","94.0"
"0.005","0.005","1050","7","85.0","94.0"
"0.006","0.006","1060","7","85.0","94.0"
"0.007","0.007","1070","8","85.1","94.1"
"0.008","0.008","1080","8","85.1","94.1"
"0.009","0.009","1090","9","85.1","94.1"
"0.01","0.01","1100","9","85.1","94.1"
