engine,objective,trial_id,peak_hp,peak_hp_rpm,peak_tq,peak_tq_rpm,auc_hp,auc_tq
SDM26 baseline  (599cc 4),peak_tq,10,54.99,7000,58.00,5500,535727.8,516506.3
SDM26 baseline  (599cc 4),auc_tq,8,63.35,12250,52.52,4250,678126.3,590624.2
SDM26 baseline  (599cc 4),peak_hp,1,65.11,11250,51.24,5250,670125.1,578644.5
SDM26 baseline  (599cc 4),auc_hp,8,63.35,12250,52.52,4250,678126.3,590624.2
Honda CRF450R '20  (449cc 1),peak_tq,27,24.46,4750,40.06,4000,157393.5,213567.5
Honda CRF450R '20  (449cc 1),auc_tq,1,28.07,7000,37.04,2500,198081.8,246855.4
Honda CRF450R '20  (449cc 1),peak_hp,36,29.10,5750,38.52,4750,186224.4,240299.9
Honda CRF450R '20  (449cc 1),auc_hp,1,28.07,7000,37.04,2500,198081.8,246855.4
KTM 690 Duke '18  (693cc 1),peak_tq,27,26.16,3750,55.97,3000,118821.3,201849.1
KTM 690 Duke '18  (693cc 1),auc_tq,1,27.96,5250,55.10,2000,156184.2,239293.2
KTM 690 Duke '18  (693cc 1),peak_hp,36,30.31,4750,55.70,2000,153074.0,238610.1
KTM 690 Duke '18  (693cc 1),auc_hp,14,27.52,5250,54.39,2000,156753.5,238357.2
Yamaha YZ450F '24  (449cc 1),peak_tq,32,18.11,5750,37.64,2000,138593.0,184996.0
Yamaha YZ450F '24  (449cc 1),auc_tq,1,21.42,5500,36.65,2000,156309.5,205884.1
Yamaha YZ450F '24  (449cc 1),peak_hp,36,23.04,5500,37.46,2500,152556.9,204605.8
Yamaha YZ450F '24  (449cc 1),auc_hp,1,21.42,5500,36.65,2000,156309.5,205884.1
Triumph Daytona 675R '11  (675cc 3),peak_tq,44,53.72,8250,65.29,4750,443917.3,488073.5
Triumph Daytona 675R '11  (675cc 3),auc_tq,1,59.87,10000,58.44,3250,552510.7,548570.8
Triumph Daytona 675R '11  (675cc 3),peak_hp,13,61.27,8250,59.30,3750,537523.9,541511.5
Triumph Daytona 675R '11  (675cc 3),auc_hp,1,59.87,10000,58.44,3250,552510.7,548570.8
Kawasaki ZX-6R 636 '03-'04  (636cc 4),peak_tq,44,58.69,7000,61.73,5250,575826.2,548759.0
Kawasaki ZX-6R 636 '03-'04  (636cc 4),auc_tq,8,63.54,12000,55.83,4250,693716.4,612122.5
Kawasaki ZX-6R 636 '03-'04  (636cc 4),peak_hp,41,66.57,9000,58.29,6000,626253.2,577597.6
Kawasaki ZX-6R 636 '03-'04  (636cc 4),auc_hp,8,63.54,12000,55.83,4250,693716.4,612122.5
Suzuki GSX-R600 '06  (599cc 4),peak_tq,10,54.99,7000,58.10,5500,519760.5,509297.5
Suzuki GSX-R600 '06  (599cc 4),auc_tq,35,63.42,11250,52.64,3750,647938.0,577668.1
Suzuki GSX-R600 '06  (599cc 4),peak_hp,1,64.43,11250,51.33,5250,638740.5,564199.5
Suzuki GSX-R600 '06  (599cc 4),auc_hp,35,63.42,11250,52.64,3750,647938.0,577668.1
Yamaha YZF-R6 '09  (599cc 4),peak_tq,10,55.55,7000,58.37,5500,540908.9,520449.8
Yamaha YZF-R6 '09  (599cc 4),auc_tq,8,64.06,12250,52.81,4500,685246.2,595688.2
Yamaha YZF-R6 '09  (599cc 4),peak_hp,1,65.67,11250,51.53,5250,676926.7,583569.8
Yamaha YZF-R6 '09  (599cc 4),auc_hp,8,64.06,12250,52.81,4500,685246.2,595688.2
