variant,score,sdm26_all_4_13k5_rmse,sdm26_all_4_13k5_bias,sdm26_wot_6_13k5_rmse,sdm26_wot_6_13k5_bias,sdm26_peak_7_11k5_rmse,sdm26_peak_7_11k5_bias,sdm26_high_10k5_13k5_rmse,sdm26_high_10k5_13k5_bias,sdm25_all_4_13k5_rmse,sdm25_all_4_13k5_bias,sdm25_wot_6_13k5_rmse,sdm25_wot_6_13k5_bias,sdm25_peak_7_11k5_rmse,sdm25_peak_7_11k5_bias,sdm25_high_10k5_13k5_rmse,sdm25_high_10k5_13k5_bias
c_r15_eta94_mk15,3.495,3.292,1.543,2.299,0.669,2.454,1.192,2.853,1.438,4.896,0.65,4.692,-0.405,3.051,-2.187,3.558,-3.136
c_r15_eta95_mk20,3.497,3.311,1.61,2.21,0.704,2.417,1.349,2.633,1.154,5.014,0.76,4.783,-0.32,2.991,-2.03,3.719,-3.429
c_rm15_eta94,3.537,3.2,1.51,2.499,0.769,2.428,0.671,3.328,2.538,4.628,0.231,4.576,-0.739,3.407,-2.747,3.458,-2.512
t_eta92,3.546,3.15,0.943,2.292,0.047,2.304,0.461,2.736,0.97,4.893,0.053,4.8,-1.031,3.578,-2.87,4.033,-3.59
shipped,3.551,3.454,1.854,2.564,1.037,2.71,1.475,3.337,2.127,4.778,0.903,4.539,-0.1,2.814,-1.947,3.075,-2.41
t_eta94,3.551,3.454,1.854,2.564,1.037,2.71,1.475,3.337,2.127,4.778,0.903,4.539,-0.1,2.814,-1.947,3.075,-2.41
t_machk20,3.558,3.506,2.045,2.423,1.175,2.729,1.835,2.939,1.705,4.993,1.158,4.694,0.114,2.658,-1.601,3.214,-2.859
c_rm15_eta95,3.604,3.426,1.959,2.746,1.258,2.639,1.154,3.796,3.119,4.582,0.648,4.463,-0.285,3.03,-2.301,3.079,-1.914
g_rm15_rf10,3.724,3.695,2.401,3.053,1.739,2.92,1.632,4.288,3.697,4.573,1.07,4.395,0.178,2.671,-1.837,2.783,-1.326
g_rm15_rf15,3.741,3.732,2.444,3.1,1.787,2.945,1.658,4.365,3.78,4.565,1.115,4.382,0.232,2.624,-1.772,2.755,-1.276
g_rm15_rf20,3.76,3.77,2.488,3.149,1.835,2.968,1.677,4.443,3.871,4.559,1.143,4.371,0.262,2.586,-1.731,2.725,-1.25
g_rm20_rf10,3.76,3.828,2.625,3.092,1.929,3.152,2.096,4.259,3.572,4.681,1.403,4.427,0.505,2.395,-1.451,2.564,-1.222
g_rm20_rf15,3.784,3.869,2.672,3.142,1.98,3.179,2.124,4.337,3.665,4.686,1.444,4.425,0.549,2.365,-1.398,2.537,-1.181
g_rm25_rf10,3.79,3.929,2.702,3.103,1.956,3.339,2.426,4.11,3.184,4.824,1.686,4.477,0.757,2.23,-1.12,2.377,-1.264
t_afr,3.8,3.1,0.115,2.409,-0.85,2.315,-0.466,2.51,-0.052,5.137,-0.747,5.19,-1.905,4.347,-3.736,5.004,-4.689
g_rm20_rf20,3.801,3.894,2.712,3.178,2.026,3.203,2.148,4.394,3.747,4.699,1.485,4.425,0.588,2.337,-1.35,2.511,-1.155
exh_r15,3.812,3.961,2.751,3.144,2.01,3.371,2.457,4.172,3.268,4.829,1.723,4.479,0.798,2.201,-1.07,2.344,-1.233
g_rm25_rf15,3.812,3.961,2.751,3.144,2.01,3.371,2.457,4.172,3.268,4.829,1.723,4.479,0.798,2.201,-1.07,2.344,-1.233
g_rm25_rf20,3.831,3.993,2.795,3.188,2.061,3.404,2.483,4.237,3.359,4.832,1.763,4.474,0.841,2.168,-1.019,2.309,-1.189
exh_r30,3.866,4.047,2.865,3.257,2.139,3.445,2.509,4.343,3.506,4.84,1.833,4.475,0.917,2.116,-0.921,2.247,-1.136
afr_eta,4.673,5.069,3.918,4.452,3.253,4.549,3.067,6.081,5.518,5.428,2.14,4.895,1.035,2.531,-0.627,2.881,-2.405
prod,5.21,5.355,2.581,4.396,1.472,4.534,3.111,5.134,0.744,6.795,1.889,6.024,0.283,3.011,-0.773,5.626,-5.391
vl_cfl,5.242,5.53,3.07,4.593,2.026,4.943,3.664,5.302,1.461,6.746,2.343,5.891,0.796,2.734,-0.192,4.959,-4.665
sb_cfl,5.296,5.564,3.001,4.634,1.939,4.944,3.611,5.371,1.332,6.786,2.234,5.958,0.671,2.752,-0.251,5.25,-4.905
all_off,6.175,6.291,1.676,5.805,0.512,4.854,3.201,7.679,-0.898,7.106,0.941,6.545,-0.79,3.248,-1.457,7.509,-6.187
valve,6.407,7.406,6.65,7.06,6.215,6.963,5.973,9.424,9.073,6.413,4.659,5.755,3.786,3.036,2.158,1.986,0.966
two_zone,8.48,9.702,9.061,9.588,8.837,9.372,8.556,12.505,12.232,7.921,6.889,7.372,6.229,4.985,4.624,4.43,4.014
