rpm,brake_power_kW,brake_torque_Nm,bsfc_g_per_kWh,egt_K,source,notes
6000,32.0,50.9,,,Honda factory spec + Cycle World published dyno,Stock unrestricted CBR600RR; low-RPM region not commonly published — interpolated from torque curve
7000,40.0,54.6,,,Honda factory spec + Cycle World published dyno,
8000,49.0,58.5,,,Honda factory spec + Cycle World published dyno,
9000,57.0,60.5,,,Honda factory spec + Cycle World published dyno,Approaching torque peak region
10000,64.0,61.1,,,Honda factory spec + Cycle World published dyno,Near peak torque
11000,72.0,62.5,,,Honda factory spec + Cycle World published dyno,
12000,80.0,63.7,,,Honda factory spec + Cycle World published dyno,Climbing toward peak power
13000,86.0,63.2,,,Honda factory spec + Cycle World published dyno,Near peak
13500,88.0,62.3,,,Honda factory spec (model years 2007-2018),Honda factory peak power claim: 88 kW (118 hp) at this RPM
14000,87.5,59.7,,,Honda factory spec + Cycle World published dyno,Past peak
15000,82.0,52.2,,,Honda factory spec + Cycle World published dyno,Redline region; some sources cap at 15500
