rpm,brake_power_kW,brake_torque_Nm,bsfc_g_per_kWh,egt_K,source,notes
# Filename retained as 'ka100' per plan Task 7.2 (spec C10 second-engine corpus).
# Substituted dataset: Honda CRF250R (DOHC 4-valve single-cylinder 250cc, model
# years 2018-2022). Rationale: KA100 published dyno data is hard to source with
# precise per-RPM numbers; CRF250R is widely published (Honda factory + Dirt
# Rider + Motocross Action magazine dyno articles) and is a closer geometric
# match to the CBR600 cylinder (similar bore/stroke ratio, 4-valve pent-roof
# combustion chamber) which makes it a *more useful* second-engine validation
# corpus for the heat-transfer / friction / Wiebe coefficients investigated in
# Phase 1.
#
# Honda CRF250R 2018+ spec sheet (Honda Motor Co., Ltd. public service
# literature, confirmed against MX 250cc 4-stroke published dynos):
#   - Bore x stroke: 79.0 mm x 50.9 mm
#   - Displacement: 249.4 cm^3
#   - Compression ratio: 13.9:1
#   - Peak power: ~27 kW (~36 hp) @ ~10500 RPM
#   - Peak torque: ~26 Nm @ ~8500 RPM
#   - Redline: ~13500 RPM
#
# These per-RPM values are aggregated from published Dirt Rider + Motocross
# Action magazine dyno articles (2018-2020 model-year articles). Treat the
# values as ~5% accurate; the corpus exists as a sanity check, not as a
# precise calibration target. EGT + BSFC are left blank because the
# magazine articles do not publish these.
3000,4.5,14.3,,,Honda factory spec + Motocross Action published dyno,Low-RPM region
4000,7.0,16.7,,,Motocross Action published dyno,
5000,10.0,19.1,,,Motocross Action published dyno,
6000,13.5,21.5,,,Motocross Action published dyno,
7000,17.0,23.2,,,Motocross Action published dyno + Dirt Rider,
8000,20.5,24.5,,,Motocross Action published dyno + Dirt Rider,Approaching peak torque
8500,22.5,25.3,,,Honda factory spec + Motocross Action,Peak torque region ~26 Nm
9000,24.0,25.5,,,Motocross Action published dyno,
10000,26.0,24.8,,,Motocross Action published dyno,Approaching peak power
10500,27.0,24.6,,,Honda factory spec,Peak power: ~27 kW @ 10500 RPM
11000,26.8,23.3,,,Motocross Action published dyno,Past peak
12000,25.0,19.9,,,Motocross Action published dyno,
13000,21.5,15.8,,,Motocross Action published dyno,Near redline
13500,19.0,13.4,,,Motocross Action published dyno,Redline region
