time_s,engine.rpm,engine.tps,engine.gear,engine.water_temp,engine.oil_temp,gps.lat,gps.lon,gps.speed,imu.lat_g
0.00,8014,50.0,1,87.81000430208907,94.91001172734765,33.4242,-111.9273,30.0,0.000
0.01,7985,50.2,1,,,,,,0.018
0.02,8049,50.3,1,,,,,,0.035
0.03,8055,50.5,1,,,,,,0.053
0.04,8089,50.6,1,,,,,,0.070
0.05,8022,50.8,1,,,,,,0.088
0.06,8068,50.9,1,,,,,,0.105
0.07,8041,51.1,1,,,,,,0.123
0.08,8072,51.3,1,,,,,,0.141
0.09,8114,51.4,1,,,,,,0.158
0.10,8078,51.6,1,87.89286836891665,95.08662039239579,33.42420837742729,-111.9273000438645,30.628215181562567,0.175
0.11,8143,51.7,1,,,,,,0.193
0.12,8123,51.9,1,,,,,,0.210
0.13,8172,52.0,1,,,,,,0.228
0.14,8207,52.2,1,,,,,,0.245
0.15,8139,52.4,1,,,,,,0.262
0.16,8232,52.5,1,,,,,,0.280
0.17,8233,52.7,1,,,,,,0.297
0.18,8210,52.8,1,,,,,,0.314
0.19,8204,53.0,1,,,,,,0.331
0.20,8297,53.1,1,87.96130428718129,94.89043127562454,33.42421675393591,-111.92730017545323,31.255810390586266,0.348
0.21,8223,53.3,1,,,,,,0.365
0.22,8311,53.5,1,,,,,,0.382
0.23,8299,53.6,1,,,,,,0.399
0.24,8332,53.8,1,,,,,,0.416
0.25,8337,53.9,1,,,,,,0.433
0.26,8330,54.1,1,,,,,,0.449
0.27,8386,54.2,1,,,,,,0.466
0.28,8339,54.4,1,,,,,,0.483
0.29,8369,54.5,1,,,,,,0.499
0.30,8409,54.7,1,88.08740723428237,95.22468142679764,33.42422512860726,-111.92730039475171,31.882166266370287,0.515
0.31,8397,54.9,1,,,,,,0.532
0.32,8422,55.0,1,,,,,,0.548
0.33,8369,55.2,1,,,,,,0.564
0.34,8399,55.3,1,,,,,,0.580
0.35,8418,55.5,1,,,,,,0.596
0.36,8409,55.6,1,,,,,,0.612
0.37,8437,55.8,1,,,,,,0.628
0.38,8436,56.0,1,,,,,,0.643
0.39,8467,56.1,1,,,,,,0.659
0.40,8515,56.3,1,87.9992646246885,95.05473589304768,33.42423350052298,-111.92730070173592,32.50666467128609,0.674
0.41,8485,56.4,1,,,,,,0.690
0.42,8503,56.6,1,,,,,,0.705
0.43,8582,56.7,1,,,,,,0.720
0.44,8566,56.9,1,,,,,,0.735
0.45,8575,57.0,1,,,,,,0.750
0.46,8543,57.2,1,,,,,,0.765
0.47,8611,57.4,1,,,,,,0.780
0.48,8567,57.5,1,,,,,,0.794
0.49,8601,57.7,1,,,,,,0.809
0.50,8675,57.8,1,88.12266348423142,95.15610705808942,33.424241868764994,-111.92730109637219,33.128689300804616,0.823
0.51,8657,58.0,1,,,,,,0.837
0.52,8685,58.1,1,,,,,,0.851
0.53,8691,58.3,1,,,,,,0.865
0.54,8648,58.4,1,,,,,,0.879
0.55,8641,58.6,1,,,,,,0.892
0.56,8682,58.8,1,,,,,,0.906
