time_s,engine.rpm,engine.tps,engine.gear,engine.water_temp,engine.oil_temp,gps.lat,gps.lon,gps.speed,imu.lat_g
0.00,1079,50.5,1,87.83,95.01,33.4234000,-111.9265500,0.00,0.000
0.01,1073,50.0,1,,,,,,0.000
0.02,1096,48.7,1,,,,,,0.000
0.03,1095,51.0,1,,,,,,0.000
0.04,1083,50.4,1,,,,,,0.000
0.05,1252,99.7,1,,,,,,0.000
0.06,1230,88.6,1,,,,,,0.000
0.07,1079,0.0,1,,,,,,0.000
0.08,1119,49.0,1,,,,,,0.000
0.09,1142,99.6,1,,,,,,0.000
0.10,1098,11.3,1,87.88,95.08,33.4234000,-111.9265499,0.08,0.000
0.11,1089,0.3,1,,,,,,0.000
0.12,1088,50.9,1,,,,,,0.000
0.13,1160,100.0,1,,,,,,0.000
0.14,1143,0.7,1,,,,,,0.000
0.15,1129,0.0,1,,,,,,0.000
0.16,1115,49.0,1,,,,,,0.000
0.17,1084,92.9,1,,,,,,0.000
0.18,1205,100.0,1,,,,,,0.000
0.19,1112,0.3,1,,,,,,0.000
0.20,1140,100.0,1,88.18,95.00,33.4234000,-111.9265498,0.13,0.000
0.21,1144,100.0,1,,,,,,0.000
0.22,1196,33.8,1,,,,,,0.000
0.23,1093,0.5,1,,,,,,0.000
0.24,1098,49.0,1,,,,,,0.000
0.25,1074,50.8,1,,,,,,0.000
0.26,1085,49.7,1,,,,,,0.000
0.27,1217,99.8,1,,,,,,0.000
0.28,1163,1.0,1,,,,,,0.000
0.29,1228,99.7,1,,,,,,0.000
0.30,1123,1.4,1,87.87,94.88,33.4234000,-111.9265496,0.00,0.000
0.31,1084,50.0,1,,,,,,0.000
0.32,1142,98.5,1,,,,,,0.000
0.33,1095,0.2,1,,,,,,0.000
0.34,1286,100.0,1,,,,,,0.000
0.35,1179,0.0,1,,,,,,0.000
0.36,1276,100.0,1,,,,,,0.000
0.37,1221,0.0,1,,,,,,0.000
0.38,1108,0.0,1,,,,,,0.000
0.39,1083,49.0,1,,,,,,0.000
0.40,1073,48.5,1,87.87,94.85,33.4234000,-111.9265493,0.00,0.000
0.41,1072,51.1,1,,,,,,0.000
0.42,1152,99.3,1,,,,,,0.000
0.43,1092,0.0,1,,,,,,0.000
0.44,1280,99.9,1,,,,,,0.000
0.45,1109,0.0,1,,,,,,0.000
0.46,1086,1.0,1,,,,,,0.000
0.47,1071,51.4,1,,,,,,0.000
0.48,1130,100.0,1,,,,,,0.000
0.49,1102,1.4,1,,,,,,0.000
0.50,1272,99.3,1,87.96,94.88,33.4234000,-111.9265491,0.50,0.000
0.51,1233,0.8,1,,,,,,0.000
0.52,1083,0.9,1,,,,,,0.000
0.53,1313,100.0,1,,,,,,0.000
0.54,1263,0.0,1,,,,,,0.000
0.55,1145,0.0,1,,,,,,0.000
0.56,1087,0.0,1,,,,,,0.000
0.57,1239,99.8,1,,,,,,0.000
0.58,1320,100.0,1,,,,,,0.000
0.59,1091,0.0,1,,,,,,0.000
0.60,1082,19.7,1,88.17,95.15,33.4234000,-111.9265488,0.00,0.000
0.61,1156,100.0,1,,,,,,0.000
0.62,1110,1.2,1,,,,,,0.000
0.63,1260,99.9,1,,,,,,0.000
0.64,1117,0.0,1,,,,,,0.000
0.65,1281,99.7,1,,,,,,0.000
0.66,1153,0.7,1,,,,,,0.000
0.67,1078,0.0,1,,,,,,0.000
0.68,1307,98.9,1,,,,,,0.000
0.69,1294,0.5,1,,,,,,0.000
0.70,1116,0.0,1,87.82,95.21,33.4234000,-111.9265485,0.04,0.000
0.71,1211,100.0,1,,,,,,0.000
0.72,1164,1.0,1,,,,,,0.000
0.73,1085,0.0,1,,,,,,0.000
0.74,1105,49.3,1,,,,,,0.000
0.75,1117,100.0,1,,,,,,0.000
0.76,1117,0.3,1,,,,,,0.000
0.77,1292,100.0,1,,,,,,0.000
0.78,1171,0.1,1,,,,,,0.000
0.79,1096,0.0,1,,,,,,0.000
0.80,1118,49.0,1,88.01,95.11,33.4234000,-111.9265483,0.00,0.000
0.81,1178,100.0,1,,,,,,0.000
0.82,1206,50.9,1,,,,,,0.000
0.83,1177,58.4,1,,,,,,0.000
0.84,1261,100.0,1,,,,,,0.000
0.85,1282,38.4,1,,,,,,0.000
0.86,1211,0.0,1,,,,,,0.000
0.87,1235,100.0,1,,,,,,0.000
0.88,1196,0.6,1,,,,,,0.000
0.89,1325,99.3,1,,,,,,0.000
0.90,1224,1.0,1,87.87,94.88,33.4234000,-111.9265478,0.30,0.000
0.91,1135,0.0,1,,,,,,0.000
0.92,1110,0.9,1,,,,,,0.000
0.93,1271,100.0,1,,,,,,0.000
0.94,1212,1.1,1,,,,,,0.000
0.95,1316,100.0,1,,,,,,0.000
0.96,1150,1.5,1,,,,,,0.000
0.97,1271,99.8,1,,,,,,0.000
0.98,1181,0.0,1,,,,,,0.000
0.99,1142,0.0,1,,,,,,0.000
1.00,1201,98.6,1,87.95,95.08,33.4234000,-111.9265474,0.33,0.000
1.01,1166,4.6,1,,,,,,0.000
1.02,1310,98.8,1,,,,,,0.000
1.03,1087,0.8,1,,,,,,0.000
1.04,1095,58.9,1,,,,,,0.000
1.05,1328,99.3,1,,,,,,0.000
1.06,1142,0.2,1,,,,,,0.000
1.07,1233,98.7,1,,,,,,0.000
1.08,1250,37.3,1,,,,,,0.000
1.09,1343,100.0,1,,,,,,0.000
1.10,1165,0.0,1,88.17,95.02,33.4234000,-111.9265469,0.14,0.000
1.11,1149,58.8,1,,,,,,0.000
1.12,1101,0.1,1,,,,,,0.000
1.13,1091,16.9,1,,,,,,0.000
1.14,1082,0.0,1,,,,,,0.000
1.15,1154,99.4,1,,,,,,0.000
1.16,1182,99.5,1,,,,,,0.000
1.17,1085,0.0,1,,,,,,0.000
1.18,1281,99.1,1,,,,,,0.000
1.19,1222,0.0,1,,,,,,0.000
1.20,1303,100.0,1,88.16,94.99,33.4234000,-111.9265466,0.65,0.000
1.21,1219,1.4,1,,,,,,0.000
1.22,1176,0.6,1,,,,,,0.000
1.23,1245,99.5,1,,,,,,0.000
1.24,1078,0.0,1,,,,,,0.000
1.25,1272,99.0,1,,,,,,0.000
1.26,1120,1.1,1,,,,,,0.000
1.27,1252,99.2,1,,,,,,0.000
1.28,1143,0.0,1,,,,,,0.000
1.29,1181,100.0,1,,,,,,0.000
1.30,1368,99.2,1,88.21,94.96,33.4234000,-111.9265462,0.83,0.000
1.31,1143,0.0,1,,,,,,0.000
1.32,1207,99.1,1,,,,,,0.000
1.33,1188,88.7,1,,,,,,0.000
1.34,1094,0.0,1,,,,,,0.000
1.35,1088,49.2,1,,,,,,0.000
1.36,1248,100.0,1,,,,,,0.000
1.37,1283,100.0,1,,,,,,0.000
1.38,1175,1.5,1,,,,,,0.000
1.39,1123,0.4,1,,,,,,0.000
1.40,1120,16.9,1,88.08,95.14,33.4234000,-111.9265459,0.00,0.000
1.41,1270,100.0,1,,,,,,0.000
1.42,1245,0.9,1,,,,,,0.000
1.43,1334,100.0,1,,,,,,0.000
1.44,1296,0.0,1,,,,,,0.000
1.45,1078,0.0,1,,,,,,0.000
1.46,1121,53.9,1,,,,,,0.000
1.47,1277,100.0,1,,,,,,0.000
1.48,1196,0.9,1,,,,,,0.000
1.49,1310,100.0,1,,,,,,0.000
1.50,1256,0.7,1,87.93,94.88,33.4234000,-111.9265453,0.57,0.000
1.51,1171,0.0,1,,,,,,0.000
1.52,1338,100.0,1,,,,,,0.000
1.53,1195,0.6,1,,,,,,0.000
1.54,1327,100.0,1,,,,,,0.000
1.55,1107,0.0,1,,,,,,0.000
1.56,1302,100.0,1,,,,,,0.000
1.57,1096,0.0,1,,,,,,0.000
1.58,1304,100.0,1,,,,,,0.000
1.59,1173,0.0,1,,,,,,0.000
1.60,1206,100.0,1,87.91,95.24,33.4234000,-111.9265448,0.40,0.000
1.61,1351,99.9,1,,,,,,0.000
1.62,1372,0.0,1,,,,,,0.000
1.63,1151,1.3,1,,,,,,0.000
1.64,1155,0.0,1,,,,,,0.000
1.65,1279,98.9,1,,,,,,0.000
1.66,1348,100.0,1,,,,,,0.000
1.67,1295,1.2,1,,,,,,0.000
1.68,1214,0.0,1,,,,,,0.000
1.69,1242,59.3,1,,,,,,0.000
1.70,1124,0.0,1,88.17,94.85,33.4234000,-111.9265442,0.10,0.000
1.71,1346,98.9,1,,,,,,0.000
1.72,1399,100.0,1,,,,,,0.000
1.73,1187,0.0,1,,,,,,0.000
1.74,1392,99.6,1,,,,,,0.000
1.75,1216,0.0,1,,,,,,0.000
1.76,1146,0.0,1,,,,,,0.000
1.77,1303,99.3,1,,,,,,0.000
1.78,1240,0.0,1,,,,,,0.000
1.79,1425,100.0,1,,,,,,0.000
1.80,1324,1.3,1,88.06,95.14,33.4234000,-111.9265434,0.62,0.000
1.81,1128,0.0,1,,,,,,0.000
1.82,1314,99.4,1,,,,,,0.000
1.83,1141,0.0,1,,,,,,0.000
1.84,1242,99.4,1,,,,,,0.000
1.85,1367,99.3,1,,,,,,0.000
1.86,1300,0.2,1,,,,,,0.000
1.87,1209,0.0,1,,,,,,0.000
1.88,1195,0.0,1,,,,,,0.000
1.89,1200,69.3,1,,,,,,0.000
1.90,1228,99.1,1,87.88,94.99,33.4234000,-111.9265429,0.47,0.000
1.91,1120,0.0,1,,,,,,0.000
1.92,1313,100.0,1,,,,,,0.000
1.93,1235,0.1,1,,,,,,0.000
1.94,1220,8.9,1,,,,,,0.000
1.95,1227,0.0,1,,,,,,0.000
1.96,1280,100.0,1,,,,,,0.000
1.97,1167,0.0,1,,,,,,0.000
1.98,1237,100.0,1,,,,,,0.000
1.99,1408,98.6,1,,,,,,0.000
2.00,1206,1.2,1,88.03,95.10,33.4234000,-111.9265424,0.29,0.000
2.01,1109,1.3,1,,,,,,0.000
2.02,1329,100.0,1,,,,,,0.000
2.03,1173,0.0,1,,,,,,0.000
2.04,1296,100.0,1,,,,,,0.000
2.05,1359,100.0,1,,,,,,0.000
2.06,1269,0.0,1,,,,,,0.000
2.07,1355,100.0,1,,,,,,0.000
2.08,1316,0.0,1,,,,,,0.000
2.09,1211,0.6,1,,,,,,0.000
2.10,1133,0.1,1,88.08,95.02,33.4234000,-111.9265417,0.18,0.000
2.11,1202,98.5,1,,,,,,0.000
2.12,1219,100.0,1,,,,,,0.000
2.13,1355,99.9,1,,,,,,0.000
2.14,1187,1.4,1,,,,,,0.000
2.15,1342,98.6,1,,,,,,0.000
2.16,1298,0.0,1,,,,,,0.000
2.17,1222,1.3,1,,,,,,0.000
2.18,1175,16.2,1,,,,,,0.000
2.19,1277,99.1,1,,,,,,0.000
2.20,1401,100.0,1,87.93,95.26,33.4234000,-111.9265411,0.90,0.000
2.21,1252,0.0,1,,,,,,0.000
2.22,1220,0.0,1,,,,,,0.000
2.23,1396,99.1,1,,,,,,0.000
2.24,1202,0.5,1,,,,,,0.000
2.25,1378,99.7,1,,,,,,0.000
2.26,1235,0.0,1,,,,,,0.000
2.27,1128,0.0,1,,,,,,0.000
2.28,1370,100.0,1,,,,,,0.000
2.29,1485,99.5,1,,,,,,0.000
2.30,1293,0.7,1,87.86,95.14,33.4234000,-111.9265403,0.52,0.000
2.31,1255,33.3,1,,,,,,0.000
2.32,1167,0.0,1,,,,,,0.000
2.33,1283,98.9,1,,,,,,0.000
2.34,1430,99.6,1,,,,,,0.000
2.35,1427,0.0,1,,,,,,0.000
2.36,1214,0.0,1,,,,,,0.000
2.37,1390,99.6,1,,,,,,0.000
2.38,1407,99.7,1,,,,,,0.000
2.39,1424,0.0,1,,,,,,0.000
